product_id,product_name,product_category,price,discount_level,delivery_time,shelf_life_days,stock_quantity,customer_rating
1,Shampoo,Dairy,43.57,Low,119,280,158,4.5
2,Chips,Personal Care,260.26,Low,15,11,144,4.4
3,Tomato,Dairy,232.96,High,106,351,107,1.8
4,Soda,Vegetables,385.91,Medium,80,134,122,2.9
5,Shampoo,Vegetables,333.3,Medium,56,303,182,3.5
6,Butter,Bakery,228.51,High,102,101,8,1.4
7,Milk,Snacks,120.08,High,110,281,56,3.2
8,Shampoo,Beverages,366.16,Medium,53,289,44,4.4
9,Tomato,Vegetables,356.85,Low,41,292,133,4.7
10,Soda,Beverages,85.12,Medium,12,177,141,2.1
11,Chips,Fruits,458.23,Low,93,336,158,2.2
12,Tomato,Vegetables,41.56,High,175,209,181,2.1
13,Tomato,Vegetables,36.97,Medium,13,107,10,1.6
14,Milk,Snacks,101.8,None,154,117,68,2.7
15,Bread,Bakery,455.64,None,174,364,94,4.1
16,Soda,Beverages,264.8,None,97,135,129,3.8
17,Banana,Personal Care,396.09,None,115,43,102,4.6
18,Tomato,Vegetables,121.64,None,114,311,16,2.4
19,Bread,Vegetables,250.21,Low,45,12,109,3.3
20,Banana,Snacks,185.56,None,67,50,35,4.1
21,Soda,Snacks,415.64,Medium,178,198,130,4.6
22,Apple,Bakery,21.08,None,17,10,190,4.5
23,Butter,Beverages,129.48,None,167,62,42,2.9
24,Bread,Fruits,84.76,Low,95,173,92,4.6
25,Juice,Personal Care,431.0,High,106,126,32,2.8
26,Apple,Bakery,239.1,Low,162,253,101,4.6
27,Butter,Fruits,208.07,Low,68,211,28,4.1
28,Milk,Dairy,230.25,Low,39,119,150,1.9
29,Shampoo,Vegetables,486.24,None,110,243,186,4.7
30,Chips,Beverages,426.63,Low,76,58,80,2.0
31,Juice,Bakery,356.12,None,141,80,176,4.6
32,Milk,Vegetables,152.33,Low,102,173,182,3.5
33,Soda,Beverages,90.93,Medium,72,52,74,3.7
34,Milk,Beverages,461.5,Medium,41,228,155,1.4
35,Shampoo,Beverages,217.31,None,96,74,198,1.3
36,Soda,Vegetables,146.59,Medium,60,159,108,4.9
37,Juice,Bakery,240.75,None,72,51,103,2.3
38,Shampoo,Personal Care,459.75,None,89,283,71,4.4
39,Banana,Snacks,199.66,Low,96,206,24,3.8
40,Chips,Vegetables,285.69,Low,119,146,134,3.4
41,Juice,Beverages,403.45,None,110,321,120,3.7
42,Banana,Bakery,219.29,Medium,138,130,74,1.4
43,Butter,Personal Care,124.44,High,28,336,161,2.6
44,Juice,Dairy,497.32,None,110,157,149,3.4
45,Butter,Fruits,478.72,Low,172,69,66,4.5
46,Soda,Beverages,423.3,None,103,100,177,3.9
47,Banana,Dairy,347.3,Low,90,185,175,2.0
48,Chips,Snacks,154.48,None,112,182,103,4.9
49,Shampoo,Personal Care,457.57,High,122,133,118,3.6
50,Tomato,Personal Care,145.02,Low,163,43,199,3.0
